,BMUID,temp,wspd,wgust,sealevelpressure,visibility,cloudcover,precip,dew,humidity,loadFactor
0,ABRTW-1,8.9,15.1,,988.7,24.1,91.1,0.0,7.7,92.61,0.6641666666666667
1,ABRTW-1,9.7,8.7,,1013.7,9.1,92.4,0.0,8.7,93.0,0.10027777777777777
2,ABRTW-1,15.6,11.6,,1016.7,22.5,45.2,0.0,13.0,84.36,0.42227777777777775
3,ABRTW-1,9.3,4.0,,1014.9,25.8,75.2,0.0,7.0,85.7,0.005722222222222222
4,ABRTW-1,10.7,3.2,0.9,1018.8,42.1,100.0,0.0,6.4,74.73,0.02033333333333333
5,ABRTW-1,11.9,18.8,20.7,992.6,7.5,73.0,0.0,10.1,89.08,0.9857777777777778
6,ABRTW-1,8.5,2.9,,1031.6,11.7,5.4,0.0,7.9,96.08,0.06333333333333332
7,ABRTW-1,11.5,24.9,29.1,999.4,6.2,84.5,0.0,10.3,92.42,0.9866111111111111
8,ABRTW-1,8.5,4.0,,1032.2,9.4,28.3,0.0,8.0,97.2,0.051333333333333335
9,ABRTW-1,9.4,8.4,,994.6,33.4,98.3,0.0,9.0,97.79,0.009888888888888888
10,ABRTW-1,15.4,4.9,4.9,998.2,20.2,87.5,0.0,12.1,80.44,0.07972222222222222
11,ABRTW-1,15.6,14.5,16.0,984.5,14.9,64.3,0.0,14.0,89.82,0.8367777777777777
12,ABRTW-1,2.2,2.3,,1000.9,4.3,86.5,0.0,2.1,99.24,0.0007222222222222222
13,ABRTW-1,16.3,7.1,,1016.0,31.0,81.4,0.0,11.6,73.57,0.013166666666666667
14,ABRTW-1,9.7,4.0,2.9,1019.4,20.8,60.1,0.0,8.9,94.35,0.4467777777777778
15,ACHRW-1,8.0,18.6,21.9,987.1,14.6,48.3,0.0,5.5,84.24,0.5083568075117371
16,ACHRW-1,12.2,14.5,14.1,1017.1,13.8,43.9,0.0,8.4,77.28,0.37497652582159624
17,ACHRW-1,6.4,3.4,0.0,1013.9,20.9,56.6,0.0,0.8,67.25,0.03774647887323944
18,ACHRW-1,9.2,6.1,6.0,1019.4,37.9,47.2,0.0,5.8,79.13,0.11816901408450703
19,ACHRW-1,11.4,14.1,3.3,991.1,19.8,69.0,0.0,10.0,91.31,0.38835680751173707
20,ACHRW-1,5.8,6.6,0.0,1031.1,8.9,0.0,0.0,5.2,95.77,0.006384976525821597
21,ACHRW-1,12.3,22.9,29.1,997.2,11.9,72.7,0.0,10.9,91.32,0.9029577464788733
22,ACHRW-1,9.9,5.8,4.9,1031.1,18.2,64.7,0.0,8.9,93.41,0.05150234741784037
23,ACHRW-1,8.3,5.6,0.0,995.0,7.6,57.1,0.0,7.6,95.19,0.30807511737089205
24,ACHRW-1,13.4,7.9,6.0,997.3,29.4,52.9,0.0,10.7,83.89,0.13896713615023473
25,ACHRW-1,15.0,12.2,15.4,982.8,14.6,61.3,0.0,13.5,91.01,0.39488262910798116
26,ACHRW-1,9.8,9.6,0.0,1017.8,15.5,59.8,0.0,8.8,93.85,0.10525821596244131
27,AKGLW-2,8.7,12.0,,989.7,12.8,83.7,0.0,7.0,89.48,0.6244987468671679
28,AKGLW-2,9.1,3.0,,1014.7,8.6,84.1,0.0,8.9,98.21,0.05570175438596491
29,AKGLW-2,14.8,14.5,,1015.6,22.8,58.0,0.0,6.3,56.88,0.5465852130325815
30,AKGLW-2,11.9,7.2,,1014.9,28.0,87.0,0.0,9.2,83.43,0.181359649122807
31,AKGLW-2,4.4,2.7,,1015.0,15.7,15.4,0.0,3.2,92.52,0.023370927318295737
32,AKGLW-2,9.0,4.0,,1018.3,28.4,48.7,0.0,5.6,78.9,0.49555137844611524
33,AKGLW-2,12.4,17.8,32.6,994.3,39.4,57.3,0.0,9.4,81.7,0.8604949874686716
34,AKGLW-2,7.8,6.9,,1031.6,16.0,6.3,0.0,6.7,93.01,0.22033208020050124
35,AKGLW-2,11.3,33.8,47.9,999.5,24.0,88.2,0.0,9.7,89.74,0.31394110275689224
36,AKGLW-2,6.9,3.2,,1032.5,21.9,48.4,0.0,6.0,94.19,0.456422305764411
37,AKGLW-2,8.5,7.8,,994.6,26.4,66.2,0.0,7.7,94.48,0.43273809523809526
38,AKGLW-2,16.3,5.6,,998.9,20.9,81.5,0.0,14.1,86.57,0.13734335839599
39,AKGLW-2,16.3,18.6,43.8,986.4,14.2,73.1,0.0,14.4,88.48,0.8463032581453633
40,AKGLW-2,12.7,4.5,,1016.6,2.3,40.7,0.0,12.6,98.94,3.132832080200501e-05
41,AKGLW-2,3.4,6.0,,999.4,14.9,65.1,0.0,2.6,94.27,0.3869987468671679
42,AKGLW-2,15.0,7.6,8.1,1015.6,24.4,88.0,0.0,9.3,68.72,0.13220551378446113
43,AKGLW-2,6.5,2.8,,1020.1,23.9,17.6,0.0,5.6,94.12,0.15902255639097743
44,ANSUW-1,6.5,17.8,13.0,987.1,12.2,47.6,0.0,4.7,88.46,0.3441115702479339
45,ANSUW-1,7.2,5.0,0.0,1013.5,6.0,42.7,0.0,7.2,99.98,0.030888429752066116
46,ANSUW-1,11.1,12.5,6.9,1016.2,20.5,29.6,0.0,6.9,75.19,0.3640495867768595
47,ANSUW-1,11.7,6.7,0.0,1014.2,33.1,42.7,0.0,9.0,83.69,0.010123966942148762
48,ANSUW-1,6.4,2.3,6.0,1014.6,17.2,42.7,0.0,-0.6,60.98,0.07861570247933884
49,ANSUW-1,7.6,4.5,6.0,1019.6,41.4,47.6,0.0,5.3,85.58,0.016012396694214875
50,ANSUW-1,10.3,18.2,8.1,990.8,2.5,56.9,0.0,9.5,94.3,0.2622933884297521
51,ANSUW-1,7.2,6.9,2.9,1031.3,10.8,13.2,0.0,6.7,96.32,0.14731404958677685
52,ANSUW-1,11.7,25.1,15.0,995.5,9.3,61.1,0.0,10.6,93.03,0.9412190082644629
53,ANSUW-1,9.7,6.7,4.9,1031.6,20.7,49.3,0.0,8.4,91.61,0.125103305785124
54,ANSUW-1,7.3,8.5,14.1,995.5,7.1,46.0,0.0,6.9,96.86,0.0703512396694215
55,ANSUW-1,13.9,4.9,2.9,998.2,33.1,44.3,0.0,10.0,77.55,0.13791322314049587
56,ANSUW-1,13.9,10.7,8.1,984.1,14.7,52.7,0.0,12.8,93.17,0.30113636363636365
57,ANSUW-1,13.4,2.9,0.0,1016.4,6.8,34.5,0.0,12.7,95.38,0.0011363636363636363
58,ANSUW-1,10.5,5.5,2.9,1016.2,21.5,41.1,0.0,7.0,78.99,0.0027892561983471073
59,ANSUW-1,8.3,9.0,0.0,1018.8,19.7,44.3,0.0,7.5,94.43,0.03925619834710744
60,ARCHW-1,10.4,17.8,19.4,989.2,12.7,80.9,0.0,7.0,79.3,0.4856666666666667
61,ARCHW-1,14.3,13.0,11.5,1018.4,23.2,82.1,0.0,10.1,75.89,0.3703333333333333
62,ARCHW-1,5.5,2.7,1.0,1014.6,14.3,79.4,0.0,4.4,92.73,0.030333333333333334
63,ARCHW-1,10.1,6.4,5.5,1018.6,27.5,21.9,0.0,7.6,84.34,0.07416666666666667
64,ARCHW-1,11.9,22.6,20.1,992.8,7.8,65.8,0.0,10.7,92.56,0.6816666666666666
65,ARCHW-1,5.0,1.6,2.0,1031.7,3.3,66.9,0.0,4.2,94.99,0.02723333333333333
66,ARCHW-1,12.2,23.9,39.8,1000.7,11.4,56.2,0.0,10.7,91.02,0.7311666666666666
67,ARCHW-1,11.1,6.1,4.5,1031.1,18.3,97.3,0.0,9.2,88.01,0.0605
68,ARCHW-1,10.6,13.9,7.6,995.0,6.2,66.5,0.0,10.1,97.13,0.18883333333333333
69,ARCHW-1,14.5,13.3,9.1,997.0,7.3,90.0,0.0,13.8,95.86,0.17116666666666666
70,ARCHW-1,16.7,23.2,26.7,984.7,9.0,61.2,0.0,14.1,84.57,0.7005
71,ARCHW-1,2.5,5.0,0.5,1000.7,23.9,20.6,0.0,1.7,94.43,0.011683333333333332
72,ARCHW-1,13.4,9.3,1.5,1018.4,17.9,98.6,0.0,11.9,90.28,0.06183333333333333
73,BEINW-1,4.4,28.1,62.2,985.1,5.3,39.8,0.0,3.0,90.58,0.3550551470588236
74,BEINW-1,8.5,16.3,53.0,1015.2,25.4,43.4,0.0,5.0,78.41,0.10226102941176471
75,BEINW-1,5.4,6.3,,1014.3,19.1,53.4,0.0,-5.3,45.78,0.018235294117647058
76,BEINW-1,8.8,15.0,33.4,989.6,8.7,60.1,0.0,7.5,91.63,0.5609558823529411
77,BEINW-1,7.0,16.4,55.3,1030.3,19.9,45.7,0.0,5.9,92.8,0.1552389705882353
78,BEINW-1,10.7,29.7,43.9,991.2,4.2,66.2,0.0,9.7,93.76,0.5652941176470588
79,BEINW-1,9.9,13.4,,1030.7,27.9,55.7,0.0,8.6,91.31,0.05779411764705883
80,BEINW-1,5.7,11.1,,997.2,10.5,48.0,0.0,5.0,95.43,0.5261029411764706
81,BEINW-1,13.9,9.4,40.3,997.7,22.4,41.0,0.0,10.7,81.4,0.022720588235294117
82,BEINW-1,14.4,9.6,24.0,985.0,11.6,52.5,0.0,10.9,79.11,0.08455882352941176
83,BEINW-1,-0.8,5.7,,1003.2,24.7,18.3,0.0,-1.1,98.16,0.017959558823529412
84,BEINW-1,8.6,7.5,30.0,1015.9,20.3,49.0,0.0,5.6,81.71,0.059761029411764706
85,BEINW-1,5.2,10.2,35.8,1018.6,20.7,29.5,0.0,4.8,96.96,0.0874264705882353
86,BETHW-1,8.1,16.1,42.5,983.1,20.1,52.4,0.0,4.8,79.67,0.15549579831932775
87,BETHW-1,11.7,16.7,,1013.8,19.8,81.0,0.0,7.5,75.86,0.34326050420168064
88,BETHW-1,12.6,8.2,,1014.6,28.7,88.6,0.0,6.9,68.19,0.00826890756302521
89,BETHW-1,5.0,3.1,,1012.8,16.1,88.0,0.0,3.7,91.22,0.010957983193277312
90,BETHW-1,6.1,5.2,,1019.9,29.0,24.2,0.0,3.9,85.73,0.05203361344537815
91,BETHW-1,9.2,8.2,,1028.4,22.7,58.7,0.0,6.7,84.05,0.5095798319327731
92,BETHW-1,12.1,24.0,42.4,988.1,6.9,89.8,0.0,10.6,90.56,0.7138151260504202
93,BETHW-1,10.6,3.2,2.0,1029.1,23.3,94.7,0.0,9.4,92.35,0.2523025210084034
94,BETHW-1,8.2,17.1,38.0,997.8,11.6,84.5,0.0,7.2,93.17,0.40376470588235297
95,BETHW-1,18.2,10.0,,985.2,21.5,61.1,0.0,13.1,71.84,0.12141176470588236
96,BETHW-1,13.5,9.6,,1015.2,26.9,84.1,0.0,7.9,69.17,0.13983193277310924
97,BETHW-1,7.4,5.3,,1016.9,27.8,3.3,0.0,5.3,86.96,0.24907563025210083
98,BHLAW-1,5.9,21.9,62.2,984.6,7.7,48.6,0.0,3.9,86.86,0.7473888888888889
99,BHLAW-1,6.9,7.0,,1013.7,15.1,50.7,0.0,6.3,96.14,0.0036111111111111114
100,BHLAW-1,10.2,15.6,53.0,1014.8,23.8,58.7,0.0,5.5,72.54,0.23096296296296295
101,BHLAW-1,4.9,6.3,,1013.9,17.8,71.2,0.0,2.0,81.22,0.09194444444444444
102,BHLAW-1,5.2,5.5,31.1,1020.5,26.5,44.6,0.0,3.6,89.17,0.0014074074074074073
103,BHLAW-1,8.0,14.0,55.3,1029.9,20.4,59.9,0.0,5.9,86.58,0.5250555555555556
104,BHLAW-1,10.3,32.2,93.3,990.6,4.1,67.4,0.0,9.4,94.0,0.20337037037037037
105,BHLAW-1,10.0,11.9,,1030.3,26.2,74.0,0.0,8.3,89.37,0.21146296296296296
106,BHLAW-1,6.9,11.1,,997.2,10.0,65.4,0.0,6.2,95.24,0.779
107,BHLAW-1,15.7,9.9,40.3,997.6,20.0,46.5,0.0,12.3,80.38,0.04314814814814815
108,BHLAW-1,14.2,11.6,55.3,985.0,13.8,48.5,0.0,10.7,79.48,0.22861111111111113
109,BHLAW-1,0.1,6.2,,1003.1,23.4,28.0,0.0,-0.2,97.42,0.010814814814814814
110,BHLAW-1,10.3,8.5,30.0,1015.7,22.8,65.6,0.0,7.0,79.78,0.028370370370370372
111,BHLAW-1,5.5,6.7,35.8,1018.3,21.4,26.9,0.0,4.7,94.45,0.051833333333333335
112,BLKWW-1,9.4,16.9,,990.0,13.6,91.2,0.0,7.4,87.23,0.2275992438563327
113,BLKWW-1,9.6,8.9,,1013.9,9.6,90.4,0.0,9.3,98.11,0.0938374291115312
114,BLKWW-1,13.0,11.4,,1017.8,24.0,74.3,0.0,10.0,82.03,0.3544045368620038
115,BLKWW-1,12.9,3.4,,1013.6,15.4,90.2,0.0,11.2,89.49,0.031190926275992438
116,BLKWW-1,6.3,3.3,,1015.0,17.9,48.9,0.0,4.5,88.81,0.007901701323251418
117,BLKWW-1,10.0,6.3,,1018.3,30.3,71.1,0.0,7.1,81.87,0.06748582230623819
118,BLKWW-1,11.4,23.6,35.2,994.0,7.9,84.6,0.0,10.4,93.63,1.0020037807183366
119,BLKWW-1,7.5,4.1,,1031.9,7.4,25.1,0.0,7.0,96.14,0.019281663516068054
120,BLKWW-1,10.4,31.8,50.2,1002.9,8.2,55.6,0.0,9.7,95.43,0.9902835538752364
121,BLKWW-1,8.4,5.3,,1031.8,13.2,68.9,0.0,7.1,91.87,0.14582230623818526
122,BLKWW-1,14.7,12.9,,997.8,15.0,85.8,0.0,13.5,92.07,0.3519092627599244
123,BLKWW-1,15.7,25.8,38.5,985.7,7.5,74.4,0.0,14.0,89.58,0.9679395085066163
124,BLKWW-1,1.6,6.5,,1000.2,14.9,34.7,0.0,1.2,97.08,0.1348960302457467
125,BLKWW-1,13.4,10.8,,1016.4,24.0,82.4,0.0,9.8,78.93,0.061512287334593574
126,BLKWW-1,10.0,6.9,,1019.5,19.2,77.8,0.0,8.5,90.72,0.07429111531190927
127,BLLA-1,8.2,15.2,,988.6,24.5,90.7,0.0,5.9,85.73,0.41431250000000003
128,BLLA-1,8.9,7.5,,1013.9,6.2,91.3,0.0,8.5,97.34,0.0695625
129,BLLA-1,13.0,12.1,,1016.5,20.8,40.1,0.0,8.9,76.04,0.05352083333333333
130,BLLA-1,12.5,6.5,,1014.1,24.7,88.0,0.0,10.6,88.32,0.06477083333333333
131,BLLA-1,10.3,2.1,0.9,1018.8,39.6,94.3,0.0,6.6,78.2,0.0340625
132,BLLA-1,11.8,24.7,33.2,992.5,13.3,66.7,0.0,9.0,82.77,0.9461041666666666
133,BLLA-1,6.8,2.6,,1031.6,12.1,4.9,0.0,5.7,92.88,0.04877083333333334
134,BLLA-1,10.9,32.4,48.3,999.0,5.6,83.6,0.0,9.9,93.71,1.2074375
135,BLLA-1,8.3,8.0,,994.6,32.5,96.5,0.0,7.6,95.36,0.016458333333333335
136,BLLA-1,15.0,18.0,38.3,984.6,15.2,63.3,0.0,13.7,91.87,0.6841458333333333
137,BLLA-1,13.3,7.1,,1015.9,29.1,80.6,0.0,9.2,76.2,0.008958333333333334
138,BLLA-1,8.3,1.5,0.0,1019.4,19.7,66.1,0.0,7.3,92.9,0.1743125
139,BLLA-2,8.2,15.2,,988.6,24.5,90.7,0.0,5.9,85.73,0.4198550724637681
140,BLLA-2,8.9,7.5,,1013.9,6.2,91.3,0.0,8.5,97.34,0.13405797101449277
141,BLLA-2,13.0,12.1,,1016.5,20.8,40.1,0.0,8.9,76.04,0.09750724637681159
142,BLLA-2,5.4,3.5,,1014.9,25.0,60.8,0.0,3.3,86.71,0.002173913043478261
143,BLLA-2,10.3,2.1,0.9,1018.8,39.6,94.3,0.0,6.6,78.2,0.06710144927536232
144,BLLA-2,11.8,24.7,33.2,992.5,13.3,66.7,0.0,9.0,82.77,0.781768115942029
145,BLLA-2,6.8,2.6,,1031.6,12.1,4.9,0.0,5.7,92.88,0.0033333333333333335
146,BLLA-2,10.9,32.4,48.3,999.0,5.6,83.6,0.0,9.9,93.71,0.8001739130434783
147,BLLA-2,8.3,8.0,,994.6,32.5,96.5,0.0,7.6,95.36,0.03144927536231884
148,BLLA-2,15.2,6.9,,998.4,18.0,83.6,0.0,12.5,83.79,0.0029565217391304345
149,BLLA-2,15.0,18.0,38.3,984.6,15.2,63.3,0.0,13.7,91.87,0.675304347826087
150,BLLA-2,14.0,3.9,,1016.2,5.1,93.9,0.0,13.1,94.29,0.02182608695652174
151,BLLA-2,13.3,7.1,,1015.9,29.1,80.6,0.0,9.2,76.2,0.03492753623188406
152,BLLA-2,8.3,1.5,0.0,1019.4,19.7,66.1,0.0,7.3,92.9,0.23469565217391303
153,BNWKW-1,7.7,9.7,,983.2,19.4,86.1,0.0,5.4,85.42,0.5932444444444445
154,BNWKW-1,9.5,9.9,12.1,1013.9,20.8,96.3,0.0,8.2,91.06,0.20915555555555557
155,BNWKW-1,12.4,19.2,,1012.0,18.6,42.5,0.0,7.7,72.76,0.5003555555555556
156,BNWKW-1,11.3,7.8,10.1,1015.3,25.5,80.6,0.0,6.3,71.53,0.005955555555555556
157,BNWKW-1,9.1,0.5,,1012.5,15.2,96.7,0.0,5.7,79.05,0.15288888888888888
158,BNWKW-1,6.6,6.7,,1018.8,28.3,36.7,0.0,5.2,91.04,0.059111111111111114
159,BNWKW-1,10.2,18.4,,990.0,10.8,87.2,0.0,8.1,86.8,0.6199111111111111
160,BNWKW-1,10.1,9.2,14.1,1027.9,21.5,6.3,0.0,6.6,79.05,0.0288
161,BNWKW-1,11.3,29.0,40.0,985.9,12.2,89.3,0.0,10.0,91.86,0.6205333333333333
162,BNWKW-1,10.7,7.0,,1028.6,19.1,63.6,0.0,8.7,87.58,0.05146666666666666
163,BNWKW-1,8.1,22.5,,997.9,12.0,89.4,0.0,6.6,90.38,0.6193777777777778
164,BNWKW-1,15.6,4.9,4.0,998.5,4.1,41.4,0.0,15.3,97.66,0.07902222222222223
165,BNWKW-1,15.8,12.6,,986.7,8.1,51.3,0.0,13.9,88.19,0.4959111111111111
166,BNWKW-1,11.2,6.9,12.1,1017.2,15.8,3.1,0.0,10.3,94.4,0.09733333333333333
167,BNWKW-1,6.6,12.3,,1002.2,17.2,87.6,0.0,4.2,84.89,0.05733333333333333
168,BNWKW-1,12.1,18.3,14.1,1014.8,16.8,88.7,0.0,5.8,65.3,0.4308444444444445
169,BNWKW-1,11.2,10.8,,1016.5,24.6,0.0,0.0,8.5,83.66,0.25635555555555556
170,BRYBW-1,6.6,12.6,55.0,984.2,25.4,69.6,0.0,4.2,84.75,0.6026986506746627
171,BRYBW-1,8.5,3.5,0.0,1013.5,17.5,71.1,0.0,7.7,95.04,0.02482758620689655
172,BRYBW-1,12.0,19.0,51.4,1013.7,18.5,55.4,0.0,6.5,68.87,0.17010494752623687
173,BRYBW-1,12.5,8.7,,1014.2,20.4,71.0,0.0,8.1,74.84,0.020929535232383806
174,BRYBW-1,5.3,4.4,,1013.1,12.0,73.3,0.0,3.6,88.64,0.35007496251874065
175,BRYBW-1,8.5,9.0,31.1,1019.4,19.8,68.2,0.0,5.5,81.34,0.005097451274362819
176,BRYBW-1,11.0,16.9,32.9,989.0,37.8,46.8,0.0,7.3,78.01,0.8648575712143928
177,BRYBW-1,8.2,8.9,50.8,1029.1,20.5,16.9,0.0,5.4,82.9,0.4935532233883059
178,BRYBW-1,11.4,24.2,45.8,989.5,12.4,83.9,0.0,9.3,87.06,0.9967016491754123
179,BRYBW-1,10.2,5.8,,1029.3,21.4,83.8,0.0,8.6,90.0,0.21853073463268366
180,BRYBW-1,8.8,20.7,37.5,996.0,5.1,77.2,0.0,8.3,97.08,0.45409295352323836
181,BRYBW-1,18.3,10.0,38.7,997.4,13.9,62.0,0.0,14.6,78.84,0.25559220389805093
182,BRYBW-1,16.6,12.6,52.1,985.5,18.4,61.1,0.0,11.0,69.33,0.2597901049475262
183,BRYBW-1,14.0,4.3,,1015.9,12.9,75.7,0.0,12.7,92.29,0.004197901049475263
184,BRYBW-1,12.7,7.6,30.0,1015.0,21.2,76.7,0.0,8.1,73.47,0.028695652173913042
185,BRYBW-1,7.8,6.5,35.8,1017.3,22.3,0.0,0.0,5.4,85.12,0.5548425787106447
186,BTUIW-2,9.9,18.2,31.9,987.3,14.5,43.8,0.0,6.3,78.06,0.4916247139588101
187,BTUIW-2,10.1,9.0,0.0,1013.5,16.3,41.1,0.0,8.8,92.04,0.07350114416475972
188,BTUIW-2,14.1,16.6,14.1,1017.7,14.5,87.7,0.0,10.0,76.32,0.39263157894736844
189,BTUIW-2,8.7,7.3,0.0,1013.5,17.6,94.4,0.0,6.4,85.76,0.10041189931350114
190,BTUIW-2,11.4,10.9,4.6,1019.5,28.9,82.7,0.0,6.3,70.77,0.0737299771167048
191,BTUIW-2,11.5,16.6,16.9,991.1,28.1,83.2,0.0,9.4,86.83,0.26654462242562926
192,BTUIW-2,7.1,7.1,0.0,1030.9,11.5,0.0,0.0,6.0,93.06,0.005903890160183066
193,BTUIW-2,14.0,23.2,43.1,997.9,16.8,88.5,0.0,11.7,85.71,0.8331350114416476
194,BTUIW-2,11.8,9.1,4.9,1030.5,16.6,99.1,0.0,10.2,89.43,0.11080091533180776
195,BTUIW-2,11.0,13.7,12.1,995.7,14.5,99.3,0.0,9.8,92.24,0.23871853546910754
196,BTUIW-2,13.7,14.0,6.0,996.6,19.1,87.6,0.0,12.2,90.89,0.11167048054919908
197,BTUIW-2,16.7,16.7,28.9,982.5,19.3,78.2,0.0,13.6,82.05,0.4330892448512585
198,BTUIW-2,1.3,1.3,0.0,1001.3,19.5,95.2,0.0,0.7,96.22,0.018306636155606407
199,BTUIW-2,12.3,10.1,1.0,1017.1,11.5,92.2,0.0,11.4,94.45,0.07327231121281463
200,CGTHW-1,5.7,16.2,62.2,984.7,9.0,55.3,0.0,3.8,87.77,0.002260869565217391
201,CGTHW-1,6.9,7.1,,1013.6,19.3,60.4,0.0,6.4,96.41,0.04602898550724638
202,CGTHW-1,11.0,15.8,53.0,1014.5,21.9,58.0,0.0,4.9,66.12,0.25828985507246377
203,CGTHW-1,5.3,5.2,,1013.8,16.1,76.2,0.0,2.8,83.69,0.08095652173913044
204,CGTHW-1,6.0,6.2,31.1,1020.2,21.9,57.4,0.0,4.4,89.73,0.005594202898550725
205,CGTHW-1,9.4,18.7,70.8,989.3,21.5,61.4,0.0,7.1,85.61,2.8985507246376814e-05
206,CGTHW-1,8.0,10.9,55.3,1029.9,19.8,58.6,0.0,5.8,85.73,0.7047826086956522
207,CGTHW-1,10.2,9.7,,1030.2,24.6,80.8,0.0,8.1,86.92,0.16371014492753622
208,CGTHW-1,7.7,11.7,38.0,996.5,7.3,74.0,0.0,6.7,93.03,0.26814492753623187
209,CGTHW-1,16.1,10.0,40.3,997.5,17.4,60.3,0.0,13.0,81.53,0.31782608695652176
210,CGTHW-1,14.6,11.7,55.3,985.1,14.7,51.8,0.0,10.8,78.07,0.2781449275362319
211,CGTHW-1,0.3,5.8,,1002.9,16.1,47.6,0.0,0.0,97.63,0.005014492753623188
212,CGTHW-1,11.1,7.6,30.0,1015.4,23.5,72.5,0.0,7.1,76.2,0.05597101449275362
213,CGTHW-1,5.8,7.2,35.8,1018.2,18.5,20.3,0.0,4.6,92.07,0.2832463768115942
214,CLDCW-1,8.0,14.6,,989.6,20.5,88.4,0.0,6.3,88.89,1.0658928571428572
215,CLDCW-1,8.7,7.7,,1014.1,5.5,90.6,0.0,8.4,97.5,0.20982142857142858
216,CLDCW-1,12.6,11.6,,1016.9,21.2,54.1,0.0,9.0,78.8,1.0010714285714286
217,CLDCW-1,12.3,5.7,,1014.1,18.5,88.8,0.0,10.4,88.66,0.16178571428571428
218,CLDCW-1,9.4,6.5,,1018.8,38.5,95.8,0.0,6.4,81.53,0.19125
219,CLDCW-1,11.5,25.0,33.7,993.6,9.2,79.9,0.0,9.9,89.61,1.5626785714285716
220,CLDCW-1,7.3,3.0,,1032.0,9.6,26.6,0.0,6.5,94.28,0.07625
221,CLDCW-1,10.3,33.6,47.5,1000.8,5.8,82.8,0.0,9.6,95.39,1.5783928571428572
222,CLDCW-1,5.7,3.6,,1032.6,8.2,18.1,0.0,5.1,95.81,0.20410714285714285
223,CLDCW-1,8.1,10.2,,994.8,27.2,93.0,0.0,7.4,95.5,0.06017857142857143
224,CLDCW-1,15.0,8.2,,998.4,17.5,83.8,0.0,12.6,85.57,0.3032142857142857
225,CLDCW-1,15.0,22.6,42.0,985.3,12.7,61.0,0.0,13.7,91.79,1.6357142857142857
226,CLDCW-1,0.7,2.7,,1000.6,6.8,65.2,0.0,0.6,99.14,0.028339285714285713
227,CLDCW-1,13.1,8.5,,1016.1,22.1,81.0,0.0,9.0,75.94,0.023803571428571427
228,CLDCW-1,6.7,4.9,,1019.9,21.0,68.7,0.0,5.9,94.59,0.20946428571428571
229,CLDNW-1,8.0,14.6,,989.6,20.5,88.4,0.0,6.3,88.89,1.1964814814814815
230,CLDNW-1,8.7,7.7,,1014.1,5.5,90.6,0.0,8.4,97.5,0.3224074074074074
231,CLDNW-1,12.6,11.6,,1016.9,21.2,54.1,0.0,9.0,78.8,0.9355555555555556
232,CLDNW-1,12.3,5.7,,1014.1,18.5,88.8,0.0,10.4,88.66,0.2637037037037037
233,CLDNW-1,9.4,6.5,,1018.8,38.5,95.8,0.0,6.4,81.53,0.2598148148148148
234,CLDNW-1,11.5,25.0,33.7,993.6,9.2,79.9,0.0,9.9,89.61,1.5233333333333334
235,CLDNW-1,7.3,3.0,,1032.0,9.6,26.6,0.0,6.5,94.28,0.12000000000000001
236,CLDNW-1,10.3,33.6,47.5,1000.8,5.8,82.8,0.0,9.6,95.39,1.1966666666666668
237,CLDNW-1,5.7,3.6,,1032.6,8.2,18.1,0.0,5.1,95.81,0.15722222222222224
238,CLDNW-1,8.1,10.2,,994.8,27.2,93.0,0.0,7.4,95.5,0.1262962962962963
239,CLDNW-1,15.0,8.2,,998.4,17.5,83.8,0.0,12.6,85.57,0.3487037037037037
240,CLDNW-1,15.0,22.6,42.0,985.3,12.7,61.0,0.0,13.7,91.79,1.6388888888888888
241,CLDNW-1,0.7,2.7,,1000.6,6.8,65.2,0.0,0.6,99.14,0.04240740740740741
242,CLDNW-1,13.1,8.5,,1016.1,22.1,81.0,0.0,9.0,75.94,0.017888888888888888
243,CLDNW-1,6.7,4.9,,1019.9,21.0,68.7,0.0,5.9,94.59,0.2601851851851852
244,CLDRW-1,7.0,9.0,,985.7,23.1,84.1,0.0,5.2,88.77,0.3996216216216216
245,CLDRW-1,8.6,4.3,,1014.1,13.5,80.9,0.0,7.9,95.95,0.005621621621621622
246,CLDRW-1,13.4,12.9,,1013.5,15.1,76.7,0.0,6.4,62.77,0.5904864864864865
247,CLDRW-1,12.3,6.1,,1014.7,26.1,82.7,0.0,8.2,76.21,0.07821621621621622
248,CLDRW-1,3.8,4.5,,1013.8,12.6,55.5,0.0,2.3,89.7,0.007783783783783783
249,CLDRW-1,8.9,6.2,,1019.1,26.3,87.2,0.0,6.1,82.5,0.14475675675675675
250,CLDRW-1,5.9,3.6,,1029.9,15.7,14.4,0.0,4.0,87.31,0.17021621621621622
251,CLDRW-1,12.6,25.7,51.5,991.4,12.4,75.7,0.0,10.3,86.09,0.960918918918919
252,CLDRW-1,8.4,4.9,,1030.2,19.9,79.0,0.0,6.9,90.3,0.011567567567567567
253,CLDRW-1,9.7,10.2,38.0,994.8,9.4,88.2,0.0,9.3,97.37,0.11162162162162162
254,CLDRW-1,17.2,6.4,,998.3,8.1,66.0,0.0,15.0,86.93,0.050756756756756755
255,CLDRW-1,16.4,13.8,,986.2,13.9,62.2,0.0,12.3,76.25,0.3154054054054054
256,CLDRW-1,12.9,4.5,,1016.6,7.1,94.0,0.0,12.3,95.9,0.05037837837837838
257,CLDRW-1,2.6,6.8,,1001.5,18.8,67.8,0.0,2.2,97.23,0.06054054054054055
